A	Alimentary tract and metabolism
J04AD02	Tiocarlide
J04AD03	Ethionamide
J04AK	Other drugs for treatment of tuberculosis
J04AK01	Pyrazinamide
J04AK02	Ethambutol
J04AK03	Terizidone
J04AK04	Morinamide
J04AM	Combinations of drugs for treatment of tuberculosis
J04AM01	Streptomycin, combinations
J04AM02	Rifampicin, combinations
J04AM03	Ethambutol, combinations
J04AM04	Thioacetazone, combinations
J04B	Drugs for treatment of lepra
J04BA	Drugs for treatment of lepra
J04BA01	Clofazimine
J04BA02	Dapsone
J04BA03	Aldesulfone sodium
J05	Antivirals for systemic use
J05A	Direct acting antivirals
J05AA	Thiosemicarbazones
J05AA01	Metisazone
J05AB	Nucleosides and nucleotides excl. reverse transcriptase inhibitors
J05AB01	Aciclovir
J05AB02	Idoxuridine
J05AB03	Vidarabine
J05AB04	Ribavirin
J05AB06	Ganciclovir
J05AB09	Famciclovir
J05AB11	Valaciclovir
J05AB12	Cidofovir
J05AB13	Penciclovir
J05AB14	Valganciclovir
J05AB54	Ribavirin, combinations
J05AC	Cyclic amines
J05AC02	Rimantadine
J05AC03	Tromantadine
J05AD	Phosphonic acid derivatives
J05AD01	Foscarnet
J05AD02	Fosfonet
J05AE	Protease inhibitors
J05AE01	Saquinavir
J05AE02	Indinavir
J05AE03	Ritonavir
J05AE04	Nelfinavir
J05AE05	Amprenavir
J05AE06	Lopinavir
J05AF	Nucleoside reverse transcriptase inhibitors
J05AF01	Zidovudine
J05AF02	Didanosine
J05AF03	Zalcitabine
J05AF04	Stavudine
J05AF05	Lamivudine
J05AF06	Abacavir
J05AF07	Tenofovir disoproxil
J05AF30	Combinations
J05AG	Non-nucleoside reverse transcriptase inhibitors
J05AG01	Nevirapine
J05AG02	Delavirdine
J05AG03	Efavirenz
J05AH	Neuraminidase inhibitors
J05AH01	Zanamivir
J05AH02	Oseltamivir
J05AX	Other antivirals
J05AX01	Moroxydine
J05AX02	Lysozyme
J05AX05	Inosine pranobex
J06	Immune sera and immunoglobulins
J06A	Immune sera
J06AA	Immune sera
J06AA01	Diphteria antitoxin
J06AA02	Tetanus antitoxin
J06AA03	Snake venom antiserum
J06AA04	Botulinum antitoxin
J06AA05	Gas-gangrene sera
J06AA06	Rabies serum
J06B	Immunoglobulins
J06BA	Immunoglobulins, normal human
J06BA01	Immunoglobulins, normal human, for extravascular adm.
J06BA02	Immunoglobulins, normal human, for intravascular adm.
J06BB	Specific immunoglobulins
J06BB01	Anti-D (rh) immunoglobulin
J06BB02	Tetanus immunoglobulin
J06BB03	Varicella/zoster immunoglobulin
J06BB04	Hepatitis B immunoglobulin
J06BB05	Rabies immunoglobulin
J06BB06	Rubella immunoglobulin
J06BB07	Vaccinia immunoglobulin
J06BB08	Staphylococcus immunoglobulin
J06BB09	Cytomegalovirus immunoglobulin
J06BB10	Diphtheria immunoglobulin
J06BB11	Hepatitis A immunoglobulin
J06BB12	Encephalitis, tick borne immunoglobulin
J06BB13	Pertussis immunoglobulin
J06BB14	Morbilli immunoglobulin
J06BB15	Parotitis immunoglobulin
J06BB16	Palivizumab
J06BB30	Combinations
J06BC	Other immunoglobulins
J06BC01	Nebacumab (centoxin)
J07	Vaccines
J07A	Bacterial vaccines
J07AC	Anthrax vaccines
J07AC01	Anthrax antigen
J07AD	Brucellosis vaccines
J07AD01	Brucella antigen
J07AE	Cholera vaccines
J07AE01	Cholera, inactivated, whole cell
J07AE02	Cholera, live attenuated
J07AE51	Cholera, combinations with typhoid vaccine, inactivated, whole cell
J07AF	Diphtheria vaccines
J07AF01	Diphtheria toxoid
J07AG	Hemophilus influenzae B vaccines
J07AG01	Hemophilus influenzae B, purified antigen conjugated
J07AG51	Hemophilus influenzae B, combinations with toxoids
J07AG52	Hemophilus influenzae B, combinations with pertussis and toxoids
J07AH	Meningococcal vaccines
J07AH01	Meningococcus A, purified polysaccharides antigen
J07AH02	Other meningococcal monovalent purified polysaccharides antigen
J07AH03	Meningococcus, bivalent purified polysaccharides antigen
J07AH04	Meningococcus, tetravalent purified polysaccharides anatigen
J07AH05	Other meningococcal polyvalent purified polysaccharides antigen
J07AH06	Meningococcus B, outer membrane vesicle vaccine
J07AJ	Pertussis vaccines
J07AJ01	Pertussis, inactivated, whole cell
J07AJ02	Pertussis, purified antigen
J07AJ51	Pertussis, inactivated, whole cell, combinations with toxoids
J07AJ52	Pertussis, purified antigen, combinations with toxoids
J07AK	Plague vaccines
J07AK01	Plague, inactivated, whole cell
J07AL	Pneumococcal vaccines
J07AL01	Pneumococcus, purified polysaccharides antigen
J07AL02	Pneumococcus, purified polysaccharides antigen conjugated
J07AM	Tetanus vaccines
J07AM01	Tetanus toxoid
J07AM51	Tetanus toxoid, combinations with diphtheria toxoid
J07AM52	Tetanus toxoid, combinations with tetanus immunoglobulin
J07AN	Tuberculosis vaccines
J07AN01	Tuberculosis, live attenuated
J07AP	Typhoid vaccines
J07AP01	Typhoid, oral, live attenuated
J07AP02	Typhoid, inactivated, whole cell
J07AP03	Typhoid, purified polysaccharide antigen
J07AP10	Typhoid, combinations with paratyphi types
J07AR	Typhus (exanthematicus) vaccines
J07AR01	Typhus exanthematicus, inactivated, whole cell
J07AX	Other bacterial vaccines
J07B	Viral vaccines
J07BA	Encephalitis vaccines
J07BA01	Encephalitis, tick borne, inactivated, whole virus
J07BA02	Encephalitis, Japanese, inactivated, whole virus
J07BB	Influenza vaccines
J07BB01	Influenza, inactivated, whole virus
J07BB02	Influenza, purified antigen
J07BC	Hepatitis vaccines
J07BC01	Hepatitis B, purified antigen
J07BC02	Hepatitis A, inactivated, whole virus
J07BC20	Combinations
J07BD	Morbilli vaccines
J07BD01	Morbilli, live attenuated
J07BD51	Morbilli, combinations with parotitis, live attenuated
J07BD52	Morbilli, combinations with parotitis and rubella, live attenuated
J07BD53	Morbilli, combinations with rubella, live attenuated
J07BE	Parotitis vaccines
J07BE01	Parotitis, live attenuated
J07BF	Poliomyelitis vaccines
J07BF01	Poliomyelitis oral, monovalent, live attenuated
J07BF02	Poliomyelitis oral, trivalent, live attenuated
J07BF03	Poliomyelitis, trivalent, inactivated, whole virus
J07BG	Rabies vaccines
J07BG01	Rabies, inactivated, whole virus
J07BH	Rota virus diarrhea vaccines
J07BH01	Rota virus, live attenuated
J07BJ	Rubella vaccines
J07BJ01	Rubella, live attenuated
J07BJ51	Rubella, combination with parotitis, live attenuated
J07BK	Varicella vaccines
J07BK01	Varicella, live attenuated
J07BL	Yellow fever vaccines
J07BL01	Yellow fever, live attenuated
J07BX	Other viral vaccines
J07C	Bacterial and viral vaccines, combined
J07CA	Bacterial and viral vaccines, combined
J07CA01	Diphtheria-poliomyelitis-tetanus
J07CA02	Diphtheria-pertussis-poliomyelitis-tetanus
J07CA03	Diphtheria-rubella-tetanus
J07CA04	Hemophilus influenzae B and poliomyelitis
J07CA05	Diphtheria-hepatitis B-pertussis-tetanus
J07CA06	Diphtheria-hemophilus influenzae B-pertussis- poliomyelitis-tetanus
J07CA07	Diphtheria-hepatitis B-tetanus
J07CA08	Hemophilus influenzae B and hepatitis B
J07X	Other vaccines
L	Antineoplastic and immunomodulating agents
L01	Antineoplastic agents
L01A	Alkylating agents
L01AA	Nitrogen mustard analogues
L01AA01	Cyclophosphamide
L01AA02	Chlorambucil
L01AA03	Melphalan
L01AA05	Chlormethine
L01AA06	Ifosfamide
L01AA07	Trofosfamide
L01AA08	Prednimustine
L01AB	Alkyl sulphonates
L01AB01	Busulfan
L01AB02	Treosulfan
L01AB03	Mannosulfan
L01AC	Ethylene imines
L01AC01	Thiotepa
L01AC02	Triaziquone
L01AC03	Carboquone
L01AD	Nitrosoureas
L01AD01	Carmustine
L01AD02	Lomustine
L01AD03	Semustine
L01AD04	Streptozocin
L01AD05	Fotemustine
L01AD06	Nimustine
L01AD07	Ranimustine
L01AG	Epoxides
L01AG01	Etoglucid
L01AX	Other alkylating agents
L01AX01	Mitobronitol
L01AX02	Pipobroman
L01AX03	Temozolomide
L01AX04	Dacarbazine
L01B	Antimetabolites
L01BA	Folic acid analogues
L01BA01	Methotrexate
L01BA03	Raltitrexed
L01BB	Purine analogues
L01BB02	Mercaptopurine
L01BB03	Tioguanine
L01BB04	Cladribine
L01BB05	Fludarabine
L01BC	Pyrimidine analogues
L01BC01	Cytarabine
L01BC02	Fluorouracil
L01BC03	Tegafur
L01BC04	Carmofur
L01BC05	Gemcitabine
L01BC06	Capecitabine
L01BC52	Fluorouracil, combinations
L01BC53	Tegafur, combinations
L01C	Plant alkaloids and other natural products
L01CA	Vinca alkaloids and analogues
L01CA01	Vinblastine
L01CA02	Vincristine
L01CA03	Vindesine
L01CA04	Vinorelbine
L01CB	Podophyllotoxin derivatives
L01CB01	Etoposide
L01CB02	Teniposide
L01CC	Colchicine derivatives
L01CC01	Demecolcine
L01CD	Taxanes
L01CD01	Paclitaxel
L01CD02	Docetaxel
L01D	Cytotoxic antibiotics and related substances
L01DA	Actinomycines
L01DA01	Dactinomycin
L01DB	Anthracyclines and related substances
L01DB01	Doxorubicin
L01DB02	Daunorubicin
L01DB03	Epirubicin
L01DB04	Aclarubicin
L01DB05	Zorubicin
L01DB06	Idarubicin
L01DB07	Mitoxantrone
L01DB08	Pirarubicin
L01DB09	Valrubicin
L01DC	Other cytotoxic antibiotics
L01DC01	Bleomycin
L01DC02	Plicamycin
L01DC03	Mitomycin
L01X	Other antineoplastic agents
L01XA	Platinum compounds
L01XA01	Cisplatin
L01XA02	Carboplatin
L01XA03	Oxaliplatin
L01XB	Methylhydrazines
L01XB01	Procarbazine
L01XC	Monoclonal antibodies
L01XC01	Edrecolomab
L01XC02	Rituximab
L01XC03	Trastuzumab
L01XD	Agents used in photodynamic therapy
L01XD01	Porfimer sodium
L01XD02	Verteporfin
L01XD03	Methyl aminolevulinate
L01XX	Other antineoplastic agents
L01XX01	Amsacrine
L01XX02	Asparaginase
L01XX03	Altretamine
L01XX05	Hydroxycarbamide
L01XX07	Lonidamine
L01XX08	Pentostatin
L01XX09	Miltefosine
L01XX10	Masoprocol
L01XX11	Estramustine
L01XX14	Tretinoin
L01XX16	Mitoguazone
L01XX17	Topotecan
L01XX18	Tiazofurin
L01XX19	Irinotecan
L01XX22	Alitretinoin
L01XX23	Mitotane
L01XX24	Pegaspargase
L01XX25	Bexarotene
L01XX27	Arsenic trioxide
L01XX28	Imatinib
L01XX29	Denileukin difitox
L01XY	Combinations of antineoplastic agents
L02	Endocrine therapy
L02A	Hormones and related agents
L02AA	Estrogens
L02AA01	Diethylstilbestrol
L02AA02	Polyestradiol phosphate
L02AA03	Ethinylestradiol
L02AA04	Fosfestrol
L02AB	Progestogens
L02AB01	Megestrol
L02AB02	Medroxyprogesterone
L02AB03	Gestonorone
L02AE	Gonadotropin releasing hormone analogues
L02AE01	Buserelin
L02AE02	Leuprorelin
L02AE03	Goserelin
L02AE04	Triptorelin
L02AX	Other hormones
L02B	Hormone antagonists and related agents
L02BA	Anti-estrogens
L02BA01	Tamoxifen
L02BA02	Toremifene
L02BA03	Fulvestrant
L02BB	Anti-androgens
L02BB01	Flutamide
L02BB02	Nilutamide
L02BB03	Bicalutamide
L02BG	Enzyme inhibitors
L02BG01	Aminogluthetimide
L02BG02	Formestane
L02BG03	Anastrozole
L02BG04	Letrozole
L02BG05	Vorozole
L02BG06	Exemestane
L03	Immunostimulants
L03A	Cytokines and immunomodulators
L03AA	Colony stimulating factors
L03AA02	Filgrastim
L03AA03	Molgramostim
L03AA09	Sargramostim
L03AA10	Lenograstim
L03AA12	Ancestim
L03AB	Interferons
L03AB01	Interferon alfa natural
L03AB02	Interferon beta natural
L03AB03	Interferon gamma
L03AB04	Interferon alfa-2a
L03AB05	Interferon alfa-2b
L03AB06	Interferon alfa-n1
L03AB07	Interferon beta-1a
L03AB08	Interferon beta-1b
L03AB09	Interferon alfacon-1
L03AB10	Peginterferon alfa-2b
L03AB11	Peginterferon alfa-2a
L03AC	Interleukins
L03AC01	Aldesleukin
L03AC02	Oprelvekin
L03AX	Other cytokines and immunomodulators
L03AX01	Lentinan
L03AX02	Roquinimex
L03AX03	BCG vaccine
L03AX04	Pegademase
L03AX05	Pidotimod
L03AX07	Poly I:C
L03AX08	Poly ICLC
L03AX09	Thymopentin
L03AX10	Immunocyanin
L03AX11	Tasonermin
L03AX12	Melanoma vaccine
L03AX13	Glatiramer acetate
L04	Immunosuppressive agents
L04A	Immunosuppressive agents
L04AA	Selective immunosuppressive agents
L04AA01	Ciclosporin
L04AA02	Muromonab-CD3
L04AA03	Antilymphocyte immunoglobulin (horse)
L04AA04	Antithymocyte immunoglobulin (rabbit)
L04AA05	Tacrolimus
L04AA06	Mycophenolic acid
L04AA08	Daclizumab
L04AA09	Basiliximab
L04AA10	Sirolimus
L04AA11	Etanercept
L04AA12	Infliximab
L04AA13	Leflunomide
L04AA14	Anakinra
L04AX	Other immunosuppressive agents
L04AX01	Azathioprine
L04AX02	Thalidomide
M	Musculo-skeletal system
M01	Antiinflammatory and antirheumatic products
M01A	Antiinflammatory and antirheumatic products, non-steroids
M01AA	Butylpyrazolidines
M01AA01	Phenylbutazone
M01AA02	Mofebutazone
M01AA03	Oxyphenbutazone
M01AA05	Clofezone
M01AA06	Kebuzone
M01AB	Acetic acid derivatives and related substances
M01AB01	Indometacin
M01AB02	Sulindac
M01AB03	Tolmetin
M01AB04	Zomepirac
M01AB05	Diclofenac
M01AB06	Alclofenac
M01AB07	Bumadizone
M01AB08	Etodolac
M01AB09	Lonazolac
M01AB10	Fentiazac
M01AB11	Acemetacin
M01AB12	Difenpiramide
M01AB13	Oxametacin
M01AB14	Proglumetacin
M01AB15	Ketorolac
M01AB16	Aceclofenac
M01AB17	Bufexamac
M01AB51	Indometacin, combinations
M01AB55	Diclofenac, combinations
M01AC	Oxicams
M01AC01	Piroxicam
M01AC02	Tenoxicam
M01AC04	Droxicam
M01AC05	Lornoxicam
M01AC06	Meloxicam
M01AE	Propionic acid derivatives
M01AE01	Ibuprofen
M01AE02	Naproxen
M01AE03	Ketoprofen
M01AE04	Fenoprofen
M01AE05	Fenbufen
M01AE06	Benoxaprofen
M01AE07	Suprofen
M01AE08	Pirprofen
M01AE09	Flurbiprofen
M01AE10	Indoprofen
M01AE11	Tiaprofenic acid
M01AE12	Oxaprozin
M01AE13	Ibuproxam
M01AE14	Dexibuprofen
M01AE15	Flunoxaprofen
M01AE16	Alminoprofen
M01AE17	Dexketoprofen
M01AE51	Ibuprofen, combinations
M01AE53	Ketoprofen, combinations
M01AG	Fenamates
M01AG01	Mefenamic acid
M01AG02	Tolfenamic acid
M01AG03	Flufenamic acid
M01AG04	Meclofenamic acid
M01AH	Coxibs
M01AH01	Celecoxib
M01AH02	Rofecoxib
M01AX	Other antiinflammatory and antirheumatic agents, non-steroids
M01AX01	Nabumetone
M01AX02	Niflumic acid
M01AX04	Azapropazone
M01AX05	Glucosamine
M01AX07	Benzydamine
M01AX12	Glucosaminoglycan polysulfate
M01AX13	Proquazone
M01AX14	Orgotein
M01AX17	Nimesulide
M01AX18	Feprazone
M01AX21	Diacerein
M01AX22	Morniflumate
M01AX23	Tenidap
M01AX24	Oxaceprol
M01AX68	Feprazone, combinations
M01B	Antiinflammatory/antirheumatic agents in combination
M01BA	Antiinflammatory/antirheumatic agents in combination with corticosteroids
M01BA01	Phenylbutazone and corticosteroids
M01BA02	Dipyrocetyl and corticosteroids
M01BA03	Acetylsalicylic acid and corticosteroids
M01BX	Other antiinflammatory/antirheumatic agents in combination with other drugs
M01C	Specific antirheumatic agents
M01CA	Quinolines
M01CA03	Oxycinchophen
M01CB	Gold preparations
M01CB01	Sodium aurothiomalate
M01CB02	Sodium aurothiosulfate
M01CB03	Auranofin
M01CB04	Aurothioglucose
M01CB05	Aurotioprol
M01CC	Penicillamine and similar agents
M01CC01	Penicillamine
M01CC02	Bucillamine
M01CX	Other specific antirheumatic agents
M02	Topical products for joint and muscular pain
M02A	Topical products for joint and muscular pain
M02AA	Antiinflammatory preparations, non-steroids for topical use
M02AA01	Phenylbutazone
M02AA02	Mofebutazone
M02AA03	Clofezone
M02AA04	Oxyphenbutazone
M02AA05	Benzydamine
M02AA06	Etofenamate
M02AA07	Piroxicam
M02AA08	Felbinac
M02AA09	Bufexamac
M02AA10	Ketoprofen
M02AA11	Bendazac
M02AA12	Naproxen
M02AA13	Ibuprofen
M02AA14	Fentiazac
M02AA15	Diclofenac
M02AA16	Feprazone
M02AA17	Niflumic acid
M02AA18	Meclofenamic acid
M02AA19	Flurbiprofen
M02AA21	Tolmetin
M02AA22	Suxibuzone
M02AA23	Indometacin
M02AA24	Nifenazone
M02AB	Capsicum preparations and similar agents
M02AC	Preparations with salicylic acid derivatives
M02AX	Other topical products for joint and muscular pain
M02AX02	Tolazoline
M02AX03	Dimethyl sulfoxide
M02AX10	Various
M03	Muscle relaxants
M03A	Muscle relaxants, peripherally acting agents
M03AA	Curare alkaloids
M03AA01	Alcuronium
M03AA02	Tubocurarine
M03AA04	Dimethyltubocurarine
M03AB	Choline derivatives
M03AB01	Suxamethonium
M03AC	Other quaternary ammonium compounds
M03AC01	Pancuronium
M03AC02	Gallamine
M03AC03	Vecuronium
M03AC04	Atracurium
M03AC05	Hexafluronium
M03AC06	Pipecuronium bromide
M03AC07	Doxacurium chloride
M03AC08	Fazadinium bromide
M03AC09	Rocuronium bromide
M03AC10	Mivacurium chloride
M03AC11	Cisatracurium
M03AX	Other muscle relaxants, peripherally acting agents
M03AX01	Botulinum toxin
M03B	Muscle relaxants, centrally acting agents
M03BA	Carbamic acid esters
M03BA01	Phenprobamate
M03BA02	Carisoprodol
M03BA03	Methocarbamol
M03BA04	Styramate
M03BA05	Febarbamate
M03BA51	Phenprobamate, combinations excl. psycholeptics
M03BA52	Carisoprodol, combinations excl. psycholeptics
M03BA53	Methocarbamol, combinations excl. psycholeptics
M03BA71	Phenprobamate, combinations with psycholeptics
M03BA72	Carisoprodol, combinations with psycholeptics
M03BA73	Methocarbamol, combinations with psycholeptics
M03BB	Oxazol, thiazine, triazine derivatives
M03BB02	Chlormezanone
M03BB03	Chlorzoxazone
M03BB52	Chlormezanone, combinations excl. psycholeptics
M03BB53	Chlorzoxazone, combinations excl. psycholeptics
M03BB72	Chlormezanone, combinations with psycholeptics
M03BB73	Chlorzoxazone, combinations with psycholeptics
M03BC	Ethers, chemically close to antihistamines
M03BC01	Orphenadrine (citrate)
M03BC51	Orphenadrine, combinations
M03BX	Other centrally acting agents
M03BX01	Baclofen
M03BX02	Tizanidine
M03BX03	Pridinol
M03BX04	Tolperisone
M03BX05	Thiocolchicoside
M03BX06	Mephenesin
M03BX07	Tetrazepam
M03BX08	Cyclobenzaprine
M03BX30	Phenyramidol
M03C	Muscle relaxants, directly acting agents
M03CA	Dantrolene and derivatives
M03CA01	Dantrolene
M04	Antigout preparations
M04A	Antigout preparations
M04AA	Preparations inhibiting uric acid production
M04AA01	Allopurinol
M04AA02	Tisopurine
M04AA51	Allopurinol, combinations
M04AB	Preparations increasing uric acid excretion
M04AB01	Probenecid
M04AB02	Sulfinpyrazone
M04AB03	Benzbromarone
M04AB04	Isobromindione
M04AC	Preparations with no effect on uric acid metabolism
M04AC01	Colchicine
M04AC02	Cinchophen
M04AX	Other antigout preparations
M04AX01	Urate oxidase
M05	Drugs for treatment of bone diseases
M05B	Drugs affecting bone structure and mineralization
M05BA	Bisphosphonates
M05BA01	Etidronic acid
M05BA02	Clodronic acid
M05BA03	Pamidronic acid
M05BA04	Alendronic acid
M05BA05	Tiludronic acid
M05BA06	Ibandronic acid
M05BA07	Risedronic acid
M05BA08	Zoledronic acid
M05BB	Bisphosphonates and calcium, sequential preparations
M05BB01	Etidronic acid and calcium
M05BC	Bone morphogenetic proteins
M05BC01	BMP-2
M05BC02	BMP-7
M05BX	Other drugs affecting bone structure and mineralization
M05BX01	Ipriflavone
M05BX02	Aluminium chlorohydrate
M09	Other drugs for disorders of the musculo-skeletal system
M09A	Other drugs for disorders of the musculo-skeletal system
M09AA	Quinine and derivatives
M09AA01	Hydroquinine
M09AA72	Quinine, combinations with psycholeptics
M09AB	Enzymes
M09AB01	Chymopapain
M09AB52	Trypsin, combinations
M09AX	Other drugs for disorders of the musculo-skeletal system
M09AX01	Hyaluronic acid
M09AX02	Chondroitin sulfate
N	Nervous system
N01	Anesthetics
N01A	Anesthetics, general
N01AA	Ethers
N01AA01	Anesthetic ether (diethyl ether)
N01AA02	Vinyl ether
N01AB	Halogenated hydrocarbons
N01AB01	Halothane
N01AB02	Chloroform
N01AB03	Methoxyflurane
N01AB04	Enflurane
N01AB05	Trichloroethylene
N01AB06	Isoflurane
N01AB07	Desflurane
N01AB08	Sevoflurane
N01AF	Barbiturates, plain
N01AF01	Methohexital
N01AF02	Hexobarbital
N01AF03	Thiopental
N01AG	Barbiturates in combination with other drugs
N01AG01	Narcobarbital
N01AH	Opioid anesthetics
N01AH01	Fentanyl
N01AH02	Alfentanil
N01AH03	Sufentanil
N01AH04	Phenoperidine
N01AH05	Anileridine
N01AH06	Remifentanil
N01AH51	Fentanyl, combinations
N01AX	Other general anesthetics
N01AX01	Droperidol
N01AX03	Ketamine
N01AX04	Propanidid
N01AX05	Alfaxalone
N01AX07	Etomidate
N01AX10	Propofol
N01AX11	Hydroxybutyric acid
N01AX13	Nitrous oxide
N01AX14	Esketamine
N01B	Anesthetics, local
N01BA	Esters of aminobenzoic acid
N01BA01	Metabutethamine
N01BA02	Procaine
N01BA03	Tetracaine
N01BA04	Chloroprocaine
N01BA05	Benzocaine
N01BA52	Procaine, combinations
N01BB	Amides
N01BB01	Bupivacaine
N01BB02	Lidocaine
N01BB03	Mepivacaine
N01BB04	Prilocaine
N01BB05	Butanilicaine
N01BB06	Cinchocaine
N01BB07	Etidocaine
N01BB08	Articaine
N01BB09	Ropivacaine
N01BB10	Levobupivacaine
N01BB20	Combinations
N01BB51	Bupivicaine, combinations
N01BB52	Lidocaine, combinations
N01BB53	Mepivacaine, combinations
N01BB54	Prilocaine, combinations
N01BB57	Etidocaine, combinations
N01BB58	Articaine, combinations
N01BC	Esters of benzoic acid
N01BC01	Cocaine
N01BX	Other local anesthetics
N01BX01	Ethyl chloride
N01BX02	Dyclonine
N01BX03	Phenol
N01BX04	Capsaicin
N02	Analgesics
N02A	Opioids
N02AA	Natural opium alkaloids
N02AA01	Morphine
N02AA02	Opium
N02AA03	Hydromorphone
N02AA04	Nicomorphine
N02AA05	Oxycodone
N02AA08	Dihydrocodeine
N02AA09	Diamorphine
N02AA10	Papaveretum
N02AA51	Morphine, combinations
N02AA58	Dihydrocodeine, combinations
N02AA59	Codeine, combinations
N02AA79	Codeine, combinations with psycholeptics
N02AB	Phenylpiperidine derivatives
N02AB01	Ketobemidone
N02AB02	Pethidine
N02AB03	Fentanyl
N02AB52	Pethidine, combinations excl. psycholeptics
N02AB72	Pethidine, combinations with psycholeptics
N02AC	Diphenylpropylamine derivatives
N02AC01	Dextromoramide
N02AC03	Piritramide
N02AC04	Dextropropoxyphene
N02AC05	Bezitramide
N02AC52	Methadone, comb. excl. psycholeptics
N02AC54	Dextropropoxyphene, comb. excl. psycholeptics
N02AC74	Dextropropoxyphene, comb. with psycholeptics
N02AD	Benzomorphan derivatives
N02AD01	Pentazocine
N02AD02	Phenazocine
N02AE	Oripvaine derivatives
N02AE01	Buprenorphine
N02AF	Morphinan derivatives
N02AF01	Butorphanol
N02AF02	Nalbufine
N02AG	Opioids in combination with antispasmodics
N02AG01	Morphine and antispasmodics
N02AG02	Ketobemidone and antispasmodics
N02AG03	Pethidine and antispasmodics
N02AG04	Hydromorphone and antispasmodics
N02AX	Other opioids
N02AX01	Tilidine
N02AX02	Tramadol
N02AX03	Dezocine
N02AX52	Tramadol, combinations
N02B	Other analgesics and antipyretics
N02BA	Salicylic acid and derivatives
N02BA01	Acetylsalicylic acid
N02BA02	Aloxiprin
N02BA03	Choline salicylate
N02BA04	Sodium salicylate
N02BA05	Salicylamide
N02BA06	Salicyloylsalicylic acid
N02BA07	Ethenzamide
N02BA08	Morpholine salicylate
N02BA09	Dipyrocetyl
N02BA10	Benorilate
N02BA11	Diflunisal
N02BA12	Potassium salicylate
N02BA14	Guacetisal
N02BA15	Carbasalate calcium
N02BA16	Imidazole salicylate
N02BA51	Acetylsalicylic acid, comb. excl. psycholeptics
N02BA55	Salicylamide, combinations excl. psycholeptics
N02BA57	Ethenzamide, combinations excl. psycholeptics
N02BA59	Dipyrocetyl, combinations excl. psycholeptics
N02BA65	Carbasalate calcium, comb. excl. psycholeptics
N02BA71	Acetylsalicylic acid, comb. with psycholeptics
N02BA75	Salicylamide, combinations with psycholeptics
N02BA77	Ethenzamide, combinations with psycholeptics
N02BA79	Dipyrocetyl, combinations with psycholeptics
N02BB	Pyrazolones
N02BB01	Phenazone
N02BB02	Metamizole sodium
N02BB03	Aminophenazone
N02BB04	Propyphenazone
N02BB05	Nifenazone
N02BB51	Phenazone, combinations excl. psycholeptics
N02BB52	Metamizole sodium, combinations excl. psycholeptics
N02BB53	Aminophenazone, combinations excl. psycholeptics
N02BB54	Propyphenazone, combinations excl. psycholeptics
N02BB71	Phenazone, combinations with psycholeptics
N02BB72	Metamizole sodium, combinations with psycholeptics
N02BB73	Aminophenazone, combinations with psycholeptics
N02BB74	Propyphenazone, combinations with psycholeptics
N02BE	Anilides
N02BE01	Paracetamol
N02BE03	Phenacetin
N02BE04	Bucetin
N02BE05	Propacetamol
N02BE51	Paracetamol, combinations excl. psycholeptics
N02BE53	Phenacetin, combinations excl. psycholeptics
N02BE54	Bucetin, combinations excl. psycholeptics
N02BE71	Paracetamol, combinations with psycholeptics
N02BE73	Phenacetin, combinations with psycholeptics
N02BE74	Bucetin, combinations with psycholeptics
N02BG	Other analgesics and antipyretics
N02BG02	Rimazolium
N02BG03	Glafenine
N02BG04	Floctafenine
N02BG05	Viminol
N02BG06	Nefopam
N02BG07	Flupirtine
N02C	Antimigraine preparations
N02CA	Ergot alkaloids
N02CA01	Dihydroergotamine
N02CA02	Ergotamine
N02CA04	Methysergide
N02CA07	Lisuride
N02CA51	Dihydroergotamine, combinations
N02CA52	Ergotamine, combinations excl. psycholeptics
N02CA72	Ergotamine, comb. with psycholeptics
N02CB	Corticosteroid derivatives
N02CB01	Flumedroxone
N02CC	Selective 5HT<v>1<D>-receptor agonists
N02CC01	Sumatriptan
N02CC02	Naratriptan
N02CC03	Zolmitriptan
N02CC04	Rizatriptan
N02CC05	Almotriptan
N02CX	Other antimigraine preparations
N02CX01	Pizotifen
N02CX02	Clonidine
N02CX03	Iprazochrome
N02CX05	Dimetotiazine
N02CX06	Oxetorone
N03	Antiepileptics
N03A	Antiepileptics
N03AA	Barbiturates and derivatives
N03AA01	Methylphenobarbital
N03AA02	Phenobarbital
N03AA03	Primidone
N03AA04	Barbexaclone
N03AA30	Metharbital
N03AB	Hydantoin derivatives
N03AB01	Ethotoin
N03AB02	Phenytoin
N03AB03	Amino(diphenylhydantoin) valeric acid
N03AB04	Mephenytoin
N03AB05	Fosphenytoin
N03AB52	Phenytoin, combinations
N03AB54	Mephenytoin, combinations
N03AC	Oxazolidine derivatives
N03AC01	Paramethadione
N03AC02	Trimethadione
N03AC03	Ethadione
N03AD	Succinimide derivatives
N03AD01	Ethosuximide
N03AD02	Phensuximide
N03AD03	Mesuximide
N03AD51	Ethosuximide, combinations
N03AE	Benzodiazepine derivatives
N03AE01	Clonazepam
N03AF	Carboxamide derivatives
N03AF01	Carbamazepine
N03AF02	Oxcarbazepine
N03AG	Fatty acid derivatives
N03AG01	Valproic acid
N03AG02	Valpromide
N03AG03	Aminobutyric acid
N03AG04	Vigabatrin
N03AG05	Progabide
N03AG06	Tiagabine
N03AX	Other antiepileptics
N03AX03	Sultiame
